store,sido,gungu
청주용암점 카페베네 (청주용암점),충북,청주시
양주덕정 카페베네 (양주덕정점),경기,양주시
부여 카페베네 (부여점),충남,부여군
천안병천 카페베네 (천안병천점),충남,천안시
예산휴게소 카페베네 (예산휴게소점),충남,예산군
일산킨텍스 카페베네 (일산킨텍스점),경기,고양시
75사단철마부대회관점,경기,남양주시
전남영암 카페베네 (전남영암점),전남,영암군
대구신월성 카페베네 (대구신월성점),대구,달서구
여수만성리해수욕장 카페베네 (여수만성리해수욕장점),전남,여수시
제주봄그리고가을리조트 카페베네,제주특별자치도,서귀포시
대구월촌역 카페베네 (대구월촌역점),대구,달서구
