,caffe_pascucci,caffebene,tomandtoms,starbucks,hollys,twosome,yogerpresso,ediya,pop,income,shortName,x,y,면적,광역시도,행정구역
202,0,0,0,0,0,0,0,0,5442,3002235.982,울릉,13,6,72.82,경상북도,울릉군
203,0,1,0,0,0,0,1,3,25225,2972178.775,울진,12,9,989.06,경상북도,울진군
204,0,0,0,0,0,0,1,0,28078,2179426.182,의성,10,11,1175.89,경상북도,의성군
205,0,0,2,0,0,2,0,2,22456,2332451.948,청도,8,13,696.52,경상북도,청도군
206,0,0,0,0,0,0,0,1,13866,2318384.914,청송,11,11,842.45,경상북도,청송군
207,3,0,2,0,2,4,2,3,52686,2625286.487,칠곡,9,12,451,경상북도,칠곡군
208,4,6,3,12,3,11,4,17,220024,3145045.065,포항,12,11,1127,경상북도,포항시
209,6,6,0,4,1,9,4,8,101792,3172343.858,거제,9,20,400.7,경상남도,거제시
210,0,1,0,0,2,1,1,1,29555,2549722.394,거창,6,15,804.09,경상남도,거창군
211,0,0,0,0,0,0,0,1,25872,2311653.169,고성(경남),7,19,517.06,경상남도,고성군
212,3,3,3,9,1,9,2,31,216604,2690278.24,김해,8,19,463.26,경상남도,김해시
213,0,0,0,0,0,0,1,1,22645,2395944.494,남해,6,19,357,경상남도,남해군
214,1,0,0,0,0,1,2,4,51489,2357856.268,밀양,8,16,799.03,경상남도,밀양시
215,1,1,1,2,2,1,0,4,52466,2728688.884,사천,6,18,396.3,경상남도,사천시
216,0,0,2,0,0,0,1,1,19015,2447399.068,산청,5,18,794.59,경상남도,산청군
217,2,2,5,7,6,8,2,16,144650,2628961.709,양산,8,17,404.38,경상남도,양산시
218,0,0,0,0,0,0,0,0,14557,2457529.206,의령,7,16,482.95,경상남도,의령군
219,3,2,0,6,3,4,5,21,148805,2888687.88,진주,6,17,712.62,경상남도,진주시
220,0,1,1,0,0,0,0,2,31471,2401842.105,창녕,7,15,533.09,경상남도,창녕군
221,5,2,7,20,7,21,8,41,430962,3038325.503,창원,7,18,734.87,경상남도,창원시
222,1,1,0,1,1,2,5,3,59411,2350392.707,통영,8,20,236.5,경상남도,통영시
223,0,0,0,0,0,0,3,0,23679,2462290.552,하동,5,19,675.57,경상남도,하동군
224,0,0,0,0,0,1,2,1,30901,2493266.298,함안,7,17,417,경상남도,함안군
225,0,0,1,0,0,0,0,1,20415,2378734.277,함양,6,16,725.03,경상남도,함양군
226,0,0,0,0,0,0,1,1,24184,2454718.624,합천,7,14,983.42,경상남도,합천군
227,4,3,0,9,0,0,0,6,83650,2439200.335,서귀포,4,25,870.68,제주특별자치도,서귀포시
228,12,5,3,11,2,0,0,10,209070,2549652.572,제주,4,24,977.8,제주특별자치도,제주시
