,caffe_pascucci,caffebene,tomandtoms,starbucks,hollys,twosome,yogerpresso,ediya,pop,income
174,5.0,1.0,2.0,4.0,1.0,6.0,11.0,14.0,116962.0,2960404.084
175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21762.0,2553073.575
176,4.0,3.0,3.0,5.0,2.0,13.0,7.0,13.0,123445.0,3246119.653
177,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,26635.0,2758048.9839999997
178,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,27312.0,2277465.385
179,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25885.0,2400060.258
180,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,22774.0,2559426.23
181,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,20142.0,2434196.365
182,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16095.0,2490810.054
183,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,17815.0,2447775.391
184,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,34794.0,2291116.083
185,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,30003.0,2359691.605
186,4.0,3.0,1.0,6.0,2.0,8.0,1.0,8.0,115195.0,2406601.577
187,2.0,5.0,2.0,7.0,4.0,6.0,8.0,22.0,118441.0,2809640.102
188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16232.0,2275261.48
189,8.0,5.0,3.0,9.0,4.0,10.0,11.0,14.0,175669.0,3015863.434
190,0.0,1.0,2.0,0.0,3.0,0.0,1.0,1.0,12890.0,2506243.4159999997
191,0.0,1.0,0.0,2.0,2.0,2.0,1.0,3.0,65161.0,2794686.019
192,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,35346.0,2447524.6859999998
193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16711.0,2454787.373
194,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,48381.0,2436973.733
195,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,22774.0,2156397.9269999997
196,2.0,1.0,1.0,2.0,0.0,4.0,3.0,6.0,74589.0,2675641.588
197,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,20099.0,2247386.183
198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8936.0,2544638.098
199,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,49030.0,2644597.234
200,1.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,51319.0,2380583.857
201,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,26415.0,2788950.253
202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5442.0,3002235.982
203,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,25225.0,2972178.775
204,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28078.0,2179426.182
205,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,22456.0,2332451.9480000003
206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13866.0,2318384.914
207,3.0,0.0,2.0,0.0,2.0,4.0,2.0,3.0,52686.0,2625286.4869999997
208,4.0,6.0,3.0,12.0,3.0,11.0,4.0,17.0,220024.0,3145045.065
209,6.0,6.0,0.0,4.0,1.0,9.0,4.0,8.0,101792.0,3172343.858
210,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,29555.0,2549722.394
211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25872.0,2311653.169
212,3.0,3.0,3.0,9.0,1.0,9.0,2.0,31.0,216604.0,2690278.24
213,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22645.0,2395944.494
214,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,51489.0,2357856.268
215,1.0,1.0,1.0,2.0,2.0,1.0,0.0,4.0,52466.0,2728688.8839999996
216,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,19015.0,2447399.068
217,2.0,2.0,5.0,7.0,6.0,8.0,2.0,16.0,144650.0,2628961.7090000003
218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14557.0,2457529.206
219,3.0,2.0,0.0,6.0,3.0,4.0,5.0,21.0,148805.0,2888687.88
220,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,31471.0,2401842.105
221,5.0,2.0,7.0,20.0,7.0,21.0,8.0,41.0,430962.0,3038325.503
222,1.0,1.0,0.0,1.0,1.0,2.0,5.0,3.0,59411.0,2350392.707
223,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,23679.0,2462290.5519999997
224,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,30901.0,2493266.298
225,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,20415.0,2378734.277
226,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24184.0,2454718.624
227,4.0,3.0,0.0,9.0,0.0,0.0,0.0,6.0,83650.0,2439200.335
228,12.0,5.0,3.0,11.0,2.0,0.0,0.0,10.0,209070.0,2549652.5719999997
