,caffe_pascucci,caffebene,tomandtoms,starbucks,hollys,twosome,yogerpresso,ediya,pop,income
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750713.526,147331.0
94,13.0,4.0,12.0,41.0,10.0,16.0,11.0,0.0,3751599.25,400001.0
95,9.0,3.0,8.0,28.0,18.0,44.0,14.0,0.0,3272525.818,498302.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750713.526,110204.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750713.526,133929.0
98,2.0,1.0,5.0,5.0,4.0,24.0,9.0,29.0,2470763.712,193706.0
99,4.0,2.0,4.0,9.0,4.0,18.0,31.0,35.0,2483339.419,277306.0
100,1.0,1.0,1.0,3.0,5.0,2.0,4.0,4.0,2491998.792,81415.0
101,4.0,2.0,2.0,14.0,5.0,28.0,11.0,30.0,3096329.313,223027.0
102,0.0,9.0,8.0,12.0,8.0,10.0,11.0,56.0,2236043.711,92959.0
103,0.0,0.0,2.0,1.0,0.0,1.0,1.0,6.0,2826538.1760000004,55712.0
104,0.0,2.0,4.0,3.0,1.0,0.0,2.0,3.0,2391649.149,50296.0
105,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2487537.317,21605.0
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750713.526,146194.0
107,2.0,1.0,0.0,4.0,4.0,8.0,5.0,7.0,2749961.038,94582.0
108,2.0,2.0,6.0,25.0,7.0,13.0,11.0,0.0,3625786.8910000003,405560.0
109,0.0,0.0,0.0,1.0,0.0,2.0,4.0,6.0,3146900.645,62020.0
110,2.0,2.0,3.0,10.0,3.0,9.0,5.0,36.0,2338591.624,190466.0
111,0.0,1.0,2.0,5.0,3.0,6.0,8.0,11.0,2952201.66,92434.0
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750713.526,122601.0
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750713.526,115168.0
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750713.526,115204.0
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750713.526,99890.0
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750713.526,107332.0
117,1.0,2.0,4.0,6.0,3.0,20.0,6.0,18.0,2750713.526,191594.0
118,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750713.526,84312.0
119,4.0,4.0,5.0,5.0,3.0,26.0,11.0,17.0,2844974.272,224892.0
120,0.0,2.0,1.0,2.0,1.0,3.0,1.0,9.0,2096587.199,69985.0
121,0.0,0.0,4.0,10.0,2.0,5.0,1.0,20.0,3041970.577,115113.0
122,3.0,2.0,3.0,13.0,14.0,36.0,16.0,36.0,3489764.6180000002,326111.0
123,3.0,3.0,3.0,4.0,2.0,5.0,1.0,13.0,2586268.275,98949.0
124,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,2395433.205,14419.0
125,0.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,2829977.978,41071.0
126,2.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,2750103.316,34275.0
127,2.0,2.0,0.0,3.0,1.0,2.0,2.0,7.0,2452133.191,38658.0
128,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2783187.0930000003,10896.0
129,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2399151.124,14067.0
130,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2686249.798,21031.0
131,4.0,4.0,3.0,6.0,7.0,10.0,7.0,17.0,2705548.6810000003,154039.0
132,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2782345.059,15565.0
133,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2567742.394,19972.0
134,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2626394.122,21196.0
135,3.0,5.0,3.0,6.0,1.0,7.0,5.0,26.0,2725947.127,122630.0
136,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2861439.981,21805.0
137,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2387786.4680000003,21399.0
138,0.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2479670.299,33100.0
139,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2727249.95,12600.0
140,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2329740.341,22857.0
141,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2368579.692,20753.0
142,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2488114.875,15221.0
143,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2423046.858,16680.0
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2484440.77,73731.0
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2484440.77,87147.0
146,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2399432.081,24563.0
147,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2320230.201,23951.0
148,1.0,1.0,1.0,0.0,0.0,3.0,3.0,4.0,2349083.425,46307.0
149,1.0,0.0,1.0,1.0,0.0,1.0,2.0,7.0,2571200.7830000003,63373.0
150,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2563045.4069999997,17265.0
151,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,2484440.77,37085.0
152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2484440.77,84937.0
153,19.0,2.0,3.0,15.0,13.0,19.0,10.0,41.0,2926542.1739999996,359895.0
154,3.0,0.0,2.0,4.0,1.0,3.0,4.0,6.0,2566321.609,95409.0
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2484440.77,114080.0
156,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3650648.672,15993.0
157,1.0,1.0,4.0,2.0,2.0,1.0,1.0,4.0,2553002.56,50455.0
158,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2366363.982,25508.0
159,0.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,2348708.931,57232.0
160,2.0,1.0,1.0,2.0,3.0,3.0,2.0,6.0,2945638.296,76150.0
161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2565193.606,113242.0
162,1.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,2565193.606,48227.0
163,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2311234.871,33308.0
164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2565193.606,167520.0
165,2.0,4.0,4.0,2.0,0.0,3.0,5.0,10.0,3303749.1610000003,76581.0
166,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,2521220.304,26384.0
167,4.0,3.0,2.0,4.0,2.0,8.0,4.0,10.0,3204097.242,134959.0
168,0.0,1.0,1.0,0.0,0.0,4.0,2.0,3.0,2340980.294,38310.0
169,8.0,7.0,11.0,16.0,6.0,19.0,12.0,21.0,3032610.5,280762.0
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2405502.446,16190.0
171,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2611718.516,32061.0
172,1.0,2.0,2.0,0.0,1.0,2.0,0.0,2.0,2596865.565,45999.0
173,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2431310.154,28767.0
174,2.0,8.0,4.0,3.0,3.0,5.0,3.0,10.0,2792908.295,118140.0
175,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,2208098.016,41844.0
176,0.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,2330832.576,38393.0
177,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2440882.233,129850.0
178,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2342361.976,12396.0
179,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,2271641.279,27417.0
180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2390553.674,13779.0
181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2440882.233,143591.0
182,1.0,0.0,2.0,0.0,0.0,1.0,1.0,5.0,2655052.669,41771.0
183,3.0,3.0,0.0,3.0,2.0,5.0,1.0,11.0,2494518.7630000003,126820.0
184,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2500712.577,14627.0
185,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2461693.8219999997,11301.0
186,7.0,4.0,10.0,14.0,15.0,13.0,10.0,47.0,2826436.67,273441.0
187,0.0,0.0,3.0,1.0,0.0,1.0,1.0,4.0,2337969.1890000002,53511.0
188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2450454.312,13108.0
189,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2480191.2569999998,18346.0
190,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2316060.736,34746.0
